<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<OPENINT>
ГАЗПРОМ ао	D	20110408	000000	239.69	243.7	239.12	243.2	75534260	0
ГАЗПРОМ ао	D	20110409	000000	243.2	243.2	243.2	243.2	0	0
ГАЗПРОМ ао	D	20110410	000000	243.2	243.2	243.2	243.2	0	0
ГАЗПРОМ ао	D	20110411	000000	243.52	247.47	241.77	244	93029910	0
ГАЗПРОМ ао	D	20110412	000000	240.7	241.49	234.46	235.57	102249490	0
ГАЗПРОМ ао	D	20110413	000000	236.03	237.29	232.77	235.07	87565620	0
ГАЗПРОМ ао	D	20110414	000000	234.69	234.69	226.9	228.87	80247690	0
ГАЗПРОМ ао	D	20110415	000000	228.7	231.78	227.14	227.6	80798860	0
ГАЗПРОМ ао	D	20110416	000000	227.6	227.6	227.6	227.6	0	0
ГАЗПРОМ ао	D	20110417	000000	227.6	227.6	227.6	227.6	0	0
ГАЗПРОМ ао	D	20110418	000000	227.6	228.9	217	218.91	90926580	0
ГАЗПРОМ ао	D	20110419	000000	221.2	225.8	220.7	225.69	73575190	0
ГАЗПРОМ ао	D	20110420	000000	227.38	231.29	227.05	230.51	73544610	0
ГАЗПРОМ ао	D	20110421	000000	233.18	235	231.59	235	76239430	0
ГАЗПРОМ ао	D	20110422	000000	235.31	237.27	235	236.89	27732400	0
ГАЗПРОМ ао	D	20110423	000000	236.89	236.89	236.89	236.89	0	0
ГАЗПРОМ ао	D	20110424	000000	236.89	236.89	236.89	236.89	0	0
ГАЗПРОМ ао	D	20110425	000000	238.02	239.77	233.55	233.9	61015960	0
ГАЗПРОМ ао	D	20110426	000000	232.7	235.28	228.7	232.14	69228360	0
ГАЗПРОМ ао	D	20110427	000000	234.19	234.85	229.1	231.9	63753970	0
ГАЗПРОМ ао	D	20110428	000000	235	235.6	229.63	231.9	63564000	0
ГАЗПРОМ ао	D	20110429	000000	230.8	232.69	228.15	231.78	37448740	0
ГАЗПРОМ ао	D	20110430	000000	231.78	231.78	231.78	231.78	0	0
ГАЗПРОМ ао	D	20110501	000000	231.78	231.78	231.78	231.78	0	0
ГАЗПРОМ ао	D	20110502	000000	231.78	231.78	231.78	231.78	0	0
